ID,대분류,상호명,도로명주소,좌표X,좌표Y,위도,경도,카테고리,원본카테고리,대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,영업시간,휴무일
7258,식품_일반음식점,삼양우숙이앤인생게장,"제주특별자치도 제주시 설촌로2길 23, 1층 105,106,107호 (삼양이동)",161269.945144291,2905.25146788773,33.5219162,126.583919,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,11:00~22:00,
7259,식품_일반음식점,빅브라더,"제주특별자치도 제주시 신대로16길 44, 신제주종합시장 1층 (연동)",152675.710114148,-913.935584082179,33.4871375,126.4916131,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,13:00~05:00,
7260,식품_일반음식점,제쭈시청점,"제주특별자치도 제주시 신성로 51, 1층 (도남동)",155783.244374549,49.2496632052827,33.4959543,126.5250014,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,11:00~22:00,
7261,식품_일반음식점,산지해장국함덕점,"제주특별자치도 제주시 조천읍 함덕18길 19, 1층",169302.011979717,4827.48816252556,33.5395079,126.670311,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),07:00~15:00,
7262,식품_일반음식점,카페잔잔한,"제주특별자치도 제주시 구좌읍 평대5길 31-29, 1층",185085.631264689,4063.90672693624,33.5329612,126.8402568,카페,기타,FD,음식,FD05,카페/ 찻집,FD050100,카페,08:00~19:00,
7263,식품_일반음식점,노랑통닭도두점,"제주특별자치도 제주시 서해안로 216, 제주아모렉스가족호텔 1층 (도두일동)",150701.95312407,1353.44877482157,33.5074902,126.4702515,생맥주전문점,호프/통닭,FD,음식,FD04,주점,FD040200,생맥주전문점,18:00~23:00,
7264,식품_일반음식점,탐라향,"제주특별자치도 제주시 서해안로 346-13, 1층 (도두이동)",151775.817044528,1547.53358902708,33.509289,126.4817981,퓨전음식,뷔페식,FD,음식,FD02,외국식,FD020500,퓨전음식,,
7265,식품_일반음식점,한라돈까스,제주특별자치도 제주시 탑동로 27 (삼도이동),155495.65315996,2424.15760612382,33.5173538,126.5217887,한식(일반),횟집,FD,음식,FD01,한식,FD019900,한식(일반),11:00~20:00,연중무휴
7266,식품_일반음식점,곽스토랑,"제주특별자치도 제주시 애월읍 곽지11길 15, 주건축물제1동 1층",135534.215812179,-4608.94383044947,33.4529298,126.3074471,서양식,패밀리레스트랑,FD,음식,FD02,외국식,FD020300,서양식,11:00~21:00,
7267,식품_일반음식점,칠돈가본점,"제주특별자치도 제주시 일주서로 7779, 에이동 1층 (노형동)",151388.593026083,-157.305169316663,33.4939013,126.4777232,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),13:30~21:30,
7268,식품_일반음식점,데이빗보이,"제주특별자치도 제주시 전농로 31, 2층 (삼도일동)",154998.647868793,1015.53004331307,33.5046332,126.51651,서양식,경양식,FD,음식,FD02,외국식,FD020300,서양식,12:00~20:00,
7269,식품_일반음식점,오이디오339,"제주특별자치도 제주시 일주서로 7345, 1층 (외도이동)",147114.346260561,-155.763311247802,33.4937123,126.4317307,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,09:00~22:00,
7270,식품_일반음식점,만다리노,"제주특별자치도 제주시 조천읍 함와로 585, 에이동 1~2층",170380.319406966,-360.751709659258,33.4927621,126.6820923,생맥주전문점,호프/통닭,FD,음식,FD04,주점,FD040200,생맥주전문점,10:00~16:00,연중무휴
7271,식품_일반음식점,디,제주특별자치도 제주시 광양8길 1 (이도이동),156174.61374019,494.443001028004,33.4999842,126.5291911,카페,까페,FD,음식,FD05,카페/ 찻집,FD050100,카페,10:30~18:30,
7272,식품_일반음식점,서가도녹차삼계탕,"제주특별자치도 제주시 동한두기길 1, 1층 (용담일동)",154978.377574742,2197.48784568383,33.5152885,126.5162324,한식(일반),식육(숯불구이),FD,음식,FD01,한식,FD019900,한식(일반),10:00~21:00,
7273,식품_일반음식점,부가네얼큰이세화점,제주특별자치도 제주시 구좌읍 세화1길 20-17,186492.77804963,3291.32042043644,33.5260144,126.8554173,치킨,통닭(치킨),FD,음식,FD03,간이음식,FD030300,치킨,17:00~00:30,
7274,식품_일반음식점,꽃밥,제주특별자치도 제주시 애월읍 일주서로 6059,135632.890718603,-4762.10854930547,33.4515549,126.3085193,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:00~15:30,
7275,식품_일반음식점,탑아일랜드,"제주특별자치도 제주시 용남1길 47, 1층 (용담일동)",154660.179174714,1060.70924899438,33.5050263,126.5128652,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,,
7276,식품_일반음식점,캐빈,"제주특별자치도 제주시 광양2길 10 (이도일동,(광양중1로24))",156050.701608629,656.761088827309,33.5014425,126.5278496,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),15:00~22:00,
7277,식품_일반음식점,제주낭낭,"제주특별자치도 제주시 구좌읍 월정1길 10, 1층",180513.029535271,6296.66067779023,33.5530176,126.7909811,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,10:00~19:00,
7278,식품_일반음식점,열매,"제주특별자치도 제주시 한경면 산양4길 27-2, 1동 1층",128560.581631832,-22406.9287310316,33.2920319,126.2338569,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),09:00~17:00,
7279,식품_일반음식점,모이세해장국노형점,"제주특별자치도 제주시 월랑로 61, 1층 (노형동)",151043.692732246,-549.190965934541,33.4903525,126.4740334,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),00:00~24:00,연중무휴
7280,식품_일반음식점,오라관광호텔구내,"제주특별자치도 제주시 연북로 217, 지하1층 (오라이동)",153911.700794197,-1495.57790495363,33.4819476,126.5049418,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),07:00~10:00,
7281,식품_일반음식점,스시애월,"제주특별자치도 제주시 애월읍 장전로 57, 제1동 1층",142686.106549278,-4735.92527883163,33.4521916,126.3843746,일식,일식,FD,음식,FD02,외국식,FD020200,일식,,
7282,식품_일반음식점,소노벨제주모닥,"제주특별자치도 제주시 조천읍 신북로 577, 부속2동",169452.372210279,4998.58486041481,33.5410548,126.671924,기타음식,기타,FD,음식,FD99,기타음식,FD999900,기타음식,,
7283,식품_일반음식점,영평가시나물마을회,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)",160838.006154891,-6137.49387889522,33.440373,126.5796648,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),,
7284,식품_일반음식점,소길언제나,"제주특별자치도 제주시 애월읍 소길1길 2, 나동 1층",142229.474630705,-5946.5224321075,33.4412529,126.3795413,한식(일반),한식,FD,음식,FD01,한식,FD019900,한식(일반),10:00~17:00,
